,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode
185,Townhouse,"9350 Sweetbay Magnolia Ct, Fairfax, VA 22031",3,3.5,4100,Fairfax,VA,22031
186,Townhouse,"6227 Split Creek Ln, Alexandria, VA 22312",3,4.0,3295,Alexandria,VA,22312
187,House,"9032 Mcnair Dr, Alexandria, VA 22309",5,3.0,3650,Alexandria,VA,22309
188,Townhouse,"1119 Moorefield Hill Ct SW, Vienna, VA 22180",3,2.5,3000,Vienna,VA,22180
189,Townhouse,"9523 Poplar Leaf Ct, Fairfax, VA 22031",3,2.5,2750,Fairfax,VA,22031
190,Townhouse,"2318 Millennium Ln, Reston, VA 20191",4,3.5,3800,Reston,VA,20191
191,Townhouse,"6830 Wild Rose Ct, Springfield, VA 22152",3,4.0,2975,Springfield,VA,22152
192,House,"5124 Richardson Dr, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032
193,House,"5913 Freds Oak Rd, Burke, VA 22015",4,3.5,3800,Burke,VA,22015
194,House,"1365 Northwyck Ct, McLean, VA 22102",5,4.5,6500,McLean,VA,22102
195,Townhouse,"2306 Emerald Heights Ct, Reston, VA 20191",3,4.0,2650,Reston,VA,20191
196,House,"12629 Fantasia Dr, Herndon, VA 20170",3,2.0,3200,Herndon,VA,20170
197,House,"5819 Fifer Dr, Alexandria, VA 22303",3,2.0,2850,Alexandria,VA,22303
198,Townhouse,"6330 James Harris Way, Centreville, VA 20121",3,2.5,2800,Centreville,VA,20121
199,House,"821 Van Buren St, Herndon, VA 20170",4,4.0,3000,Herndon,VA,20170
200,Townhouse,"1626 Valencia Way, Reston, VA 20190",3,4.0,2950,Reston,VA,20190
201,House,"4631 Tara Dr, Fairfax, VA 22032",4,3.0,3200,Fairfax,VA,22032
202,House,"3821 Bosworth Ct, Fairfax, VA 22031",5,3.5,5800,Fairfax,VA,22031
203,Townhouse,"12065 Trumbull Way, Reston, VA 20190",2,2.5,2750,Reston,VA,20190
204,House,"47773 Rafter Ct, Sterling, VA 20165",4,3.5,1800,Sterling,VA,20165
205,House,"12501 Bunche Rd, Fairfax, VA 22030",5,4.5,6000,Fairfax,VA,22030
206,Townhouse,"13326 Burrough Farm Dr, Herndon, VA 20171",3,3.5,2600,Herndon,VA,20171
207,House,"9343 Kite St, Burke, VA 22015",3,3.0,3400,Burke,VA,22015
208,Townhouse,"8078 Sebon Dr, Vienna, VA 22180",2,1.5,4300,Vienna,VA,22180
209,Townhouse,"14005 Betsy Ross Ln, Centreville, VA 20121",3,3.5,2700,Centreville,VA,20121
210,House,"6125 Old Dominion Dr, McLean, VA 22101",5,6.0,9800,McLean,VA,22101
211,House,"3713 Elmwood Dr, Alexandria, VA 22303",5,4.5,3750,Alexandria,VA,22303
212,Townhouse,"13150 Ashnut Ln, Herndon, VA 20171",3,3.5,2850,Herndon,VA,20171
213,Townhouse,"2810 Roesh Way, Vienna, VA 22181",3,3.5,3500,Vienna,VA,22181
214,House,"10311 Hickory Creek Ct, Great Falls, VA 22066",4,3.5,6000,Great Falls,VA,22066
215,Townhouse,"11114 Lakespray Way, Reston, VA 20191",3,3.5,3800,Reston,VA,20191
216,Townhouse,"6605 Mclean Ct, McLean, VA 22101",4,3.5,4200,McLean,VA,22101
217,House,"5924 Chesterbrook Rd, McLean, VA 22101",5,4.5,8000,McLean,VA,22101
218,Townhouse,"6514 Trask Terrace, Alexandria, VA 22315",3,3.5,3695,Alexandria,VA,22315
219,House,"6656 Kerns Rd, Falls Church, VA 22042",5,4.0,5000,Falls Church,VA,22042
220,Townhouse,"4259 Upper Park Dr, Fairfax, VA 22030",4,3.5,3600,Fairfax,VA,22030
221,Townhouse,"7671 Wolford Way, Lorton, VA 22079",3,2.5,2750,Lorton,VA,22079
222,House,"7126 Gormel Dr, Springfield, VA 22150",3,2.5,3400,Springfield,VA,22150
223,Townhouse,"2312 Victory Dr, Alexandria, VA 22303",2,2.0,2575,Alexandria,VA,22303
224,Townhouse,"6117 Madison Crest Ct, Falls Church, VA 22041",2,3.5,2900,Falls Church,VA,22041
225,Townhouse,"9075 Giltinan Ct, Springfield, VA 22153",3,2.5,2900,Springfield,VA,22153
226,House,"6104 Bluffdale Ct, Clifton, VA 20124",4,2.5,3750,Clifton,VA,20124
227,House,"14511 Picket Oaks Rd, Centreville, VA 20121",4,3.5,4300,Centreville,VA,20121
228,Townhouse,"6609 Anthony Crest Square, McLean, VA 22101",3,3.5,4500,McLean,VA,22101
229,Townhouse,"4275 Sleepy Lake Dr, Fairfax, VA 22033",3,4.0,2990,Fairfax,VA,22033
230,Townhouse,"1506 Autumn Ridge Cir, Reston, VA 20194",2,3.5,2700,Reston,VA,20194
231,House,"4714 Western St, Fairfax, VA 22030",5,3.5,4200,Fairfax,VA,22030
232,Townhouse,"9516 Hagel Cir Unit 4/A, Lorton, VA 22079",2,Na,1725,Lorton,VA,22079
233,House,"8811 Higdon Dr, Vienna, VA 22182",4,2.5,3300,Vienna,VA,22182
234,Townhouse,"11720 Dry River Ct, Reston, VA 20191",3,4.0,3000,Reston,VA,20191
235,Townhouse,"7341 Crestleigh Cir, Alexandria, VA 22315",3,4.0,2900,Alexandria,VA,22315
236,Townhouse,"5340 Harbor Court Dr, Alexandria, VA 22315",3,2.5,2900,Alexandria,VA,22315
237,Townhouse,"6531 Brick Hearth Ct, Alexandria, VA 22306",2,3.5,2700,Alexandria,VA,22306
238,Townhouse,"6428 Gildar St, Alexandria, VA 22310",3,2.5,3300,Alexandria,VA,22310
239,House,"2710 Elsmore St, Fairfax, VA 22031",5,3.0,4100,Fairfax,VA,22031
240,House,"10208 Commonwealth Blvd, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032
241,Townhouse,"2471 Fox Trot Terrace, Reston, VA 20191",2,1.5,2200,Reston,VA,20191
242,House,"7725 Marthas Ln, Falls Church, VA 22043",3,2.0,3350,Falls Church,VA,22043
243,Townhouse,"13943 Airfoil Rd, Herndon, VA 20171",4,4.5,2950,Herndon,VA,20171
244,House,"6937 Confederate Ridge Ln, Centreville, VA 20121",4,2.5,3300,Centreville,VA,20121
245,House,"3709 Whispering Ln, Falls Church, VA 22041",5,4.0,4900,Falls Church,VA,22041
